Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
2,False,19,1,2,2,5572194041,False,19,Tiny
2,False,19,1,2,2,5572148990,True,19,Tiny
5,True,19,0,5,5,5573056300,False,19,Tiny
4,True,19,1,4,4,5571884889,True,19,Tiny
4,True,19,1,4,4,5571778434,True,19,Tiny
4,True,19,0,4,4,5572911069,True,19,Tiny
5,True,19,1,5,5,5573152020,True,19,Tiny
16,True,19,1,16,16,5573160660,False,19,Tiny
6,True,19,0,6,6,5573222898,True,19,Tiny
12,False,19,1,12,12,5573201708,True,19,Tiny
15,True,19,0,15,15,5573233382,True,19,Tiny
15,True,19,0,15,15,5573266224,False,19,Tiny
5,True,19,1,5,5,5573253150,True,19,Tiny
2,False,19,1,2,2,5573274209,True,19,Tiny
18,False,19,0,18,18,5573297077,False,19,Tiny
4,True,19,0,4,4,5573290339,True,19,Tiny
3,False,19,1,3,3,5573315607,True,19,Tiny
14,True,19,1,14,14,5573342435,True,19,Tiny
1,False,19,1,1,1,5573372147,True,19,Tiny
23,True,19,1,23,23,5573398050,False,19,Tiny
1,False,19,0,1,1,5573419506,False,19,Tiny
3,False,19,0,3,3,5573441690,True,19,Tiny
4,True,19,1,4,4,5573482795,True,19,Tiny
16,True,19,1,16,16,5573464842,True,19,Tiny
15,True,19,1,15,15,5573581180,False,19,Tiny
11,False,19,0,11,11,5573555769,False,19,Tiny
12,False,19,1,12,12,5573623714,False,19,Tiny
23,True,19,0,23,23,5573636375,True,19,Tiny
2,False,19,0,2,2,5573621575,True,19,Tiny
2,False,19,1,2,2,5573704301,False,19,Tiny
3,False,19,1,3,3,5573739164,False,19,Tiny
8,False,19,1,8,8,5573756642,True,19,Tiny
9,False,19,0,9,9,5573796151,True,19,Tiny
3,False,19,0,3,3,5573815918,True,19,Tiny
2,False,19,0,2,2,5573882305,True,19,Tiny
5,True,19,0,5,5,5573831397,False,19,Tiny
6,True,19,0,6,6,5573909161,True,19,Tiny
2,False,19,1,2,2,5573966581,False,19,Tiny
5,True,19,1,5,5,5574033565,True,19,Tiny
6,True,19,0,6,6,5574056912,False,19,Tiny
4,True,19,0,4,4,5574107095,False,19,Tiny
5,True,19,1,5,5,5574110489,True,19,Tiny
4,True,19,0,4,4,5574108974,False,19,Tiny
4,True,19,0,4,4,5574132168,True,19,Tiny
6,True,19,1,6,6,5574153856,True,19,Tiny
4,True,19,1,4,4,5574180851,False,19,Tiny
4,True,19,0,4,4,5574182866,True,19,Tiny
